Użytkownik1,Użytkownik2,LiczbaWymian
5489,159578,1
5489,363113,2
5489,396284,1
5489,500811,2
5489,507145,1
5489,507291,2
5489,557620,6
5530,5530,121
5543,5543,4
5553,5553,16
5559,5559,9
5588,5588,25
5614,5614,4
5614,152112,1
5614,305340,2
5645,5645,4
5646,5646,1
5682,5682,36
5686,5686,16
5707,5707,4
5727,5727,256
5749,5749,1
5755,5755,16
5773,5773,1
5776,5776,1
5783,5783,4
5803,5803,1
5812,5812,1
5842,5842,9
5864,5864,1
5880,5880,4
5894,5894,4
5910,5910,4
5930,5930,1
5976,5976,16
5993,5993,16
5997,5997,1
6014,6014,25
6014,10673,6
6029,6029,4
6040,6040,1
6112,6112,9
6120,6120,4
6141,6141,4
6155,6155,529
6155,41067,18
6155,43526,2
6155,70017,2
6155,76198,8
6155,87565,2
6155,113304,2
6155,130400,1
6155,145699,1
6155,148981,5
6155,260566,1
6155,307140,2
6155,350017,6
6155,463168,1
6155,1026765,3
6155,1057622,16
6155,1077413,56
6155,1328741,1
6180,6180,1
6200,6200,81
6227,6227,1
6259,6259,1
6262,6262,1
6267,355101,1
6267,524188,1
6284,6284,25
6304,6304,1
6334,6334,9
6334,48396,1
6334,70131,5
6334,140824,1
6335,6335,16
6337,6337,1
6405,6405,4
6474,6474,4
6474,22779,1
6474,167219,1
6474,528099,1
6489,6489,1
6494,6494,9
6529,6529,4
6583,6583,49
6619,6619,1
6626,6626,4
6631,6631,36
6636,6636,1024
6636,107581,1
6636,118775,9
6636,303363,6
6636,902272,18
6636,2298808,2
6639,6639,1
6660,6660,1
6661,6661,1
6667,6667,1
6679,500811,2
6683,6683,16
6714,6714,1
6714,27628,1
6743,6743,1
6746,6746,1
6761,6761,9
6761,33857,5
6761,79630,2
6761,309441,1
6761,519748,1
6767,6767,4
6792,6792,1
6808,6808,49
6818,6818,16
6860,6860,16
6863,6863,1
6866,6866,4
6868,6868,9
6888,6888,9
6910,6910,4
6918,6918,1
6922,6922,1
6925,6925,4
6926,6926,25
6970,6970,4
6979,6979,49
7003,7003,4
7005,7005,16
7030,7030,1
7077,7077,81
7146,7146,1
7174,7174,64
7197,7197,36
7259,7259,4
7259,190970,3
7265,7265,1
7274,7274,16
7274,66802,1
7274,2736153,4
7274,6095430,1
7281,7281,361
7287,7287,1
7349,7349,16
7366,7366,16
7376,7376,4
7412,7412,1764
7412,71840,3
7412,160040,6
7412,167147,1
7412,188676,12
7412,212239,8
7412,225746,10
7412,233068,3
7412,243378,3
7412,279451,1
7412,293905,1
7412,350624,2
7412,365698,1
7412,415031,3
7412,501186,4
7412,514854,5
7412,518608,2
7412,942932,16
7412,1018938,1
7412,1042873,4
7412,1070830,2
7412,1514808,1
7412,1917090,1
7412,5269210,6
7421,7421,4
7447,7447,4
7453,7453,1
7455,7455,1
7460,7460,16
7460,87565,1
7472,7472,4
7480,7480,25
7538,7538,1
7539,7539,1
7544,7544,1
7575,7575,4
7592,7592,1
7598,7598,16
7598,10416,1
7598,55072,12
7598,60791,1
7598,91055,1
7598,118337,8
7598,266176,2
7607,7607,4
7630,7630,225
7630,9063,3
7630,9321,5
7630,11188,1
7630,11399,2
7630,16422,3
7630,17881,1
7630,22243,2
7630,26703,1
7630,33608,1
7630,33859,2
7630,38549,1
7630,73507,1
7630,460277,1
7660,7660,9
7666,7666,1
7670,7670,4
7677,7677,1
7731,7731,1
7733,7733,4
7738,7738,144
7759,7759,4
7760,7760,1
7784,7784,1
7801,7801,1
7818,7818,4
7836,7836,169
7837,7837,1
7866,7866,1
7879,7879,576
7879,23991,3
7879,31473,1
7879,58469,6
7879,66941,3
7879,120635,3
7879,187623,27
7879,250783,1
7879,376742,1
7879,441988,1
7879,501007,1
7879,514008,2
7879,1344292,1
7879,1410828,2
7879,2029500,1
7879,4918151,12
7879,6639767,1
7879,7534499,1
7879,7951471,3
7884,7884,1
7899,7899,1
7908,7908,1
7910,7910,9
7924,7924,81
7936,7936,5929
7936,23619,6
7936,28900,3
7936,42834,2
7936,49250,1
7936,57478,4
7936,58859,4
7936,60350,2
7936,66296,3
7936,66721,8
7936,69074,6
7936,73773,1
7936,85837,2
7936,87565,24
7936,102159,100
7936,114006,1
7936,119402,2
7936,141090,6
7936,145699,35
7936,169889,4
7936,183046,1
7936,222194,1
7936,223253,1
7936,252211,1
7936,305340,6
7936,500811,8
7936,507176,1
7936,557620,2
7936,1379142,1
7936,1546021,9
7964,7964,16
7964,9022,1
7964,23619,1
7964,28385,1
7964,34933,1
7964,69074,23
7964,524062,1
